id,school,committee_no,circle,table_1,gender,table_2,address,voter_count,committee_count,tag
105,ثانوية ليلى الغفارية للبنات,21,5,مبارك الكبير,ذكور,مبارك الكبير,,11322,7,"{أمة 24, الدائرة 5, ذكور, مبارك الكبير}"
106,مدرسة جعفر بن أبي طالب المتوسطة للبنين,22,5,مبارك الكبير,اناث,مبارك الكبير,,11333,7,"{أمة 24, الدائرة 5, اناث, مبارك الكبير}"
107,ثانوية بلاط الشهداء للبنين,23,5,فهد الاحمد,ذكور,فهد الاحمد,,4903,7,"{أمة 24, الدائرة 5, ذكور, فهد الاحمد}"
108,مدرسة سودة بنت مالك المتوسطة للبنات,24,5,فهد الاحمد,اناث,فهد الاحمد,,4591,7,"{أمة 24, الدائرة 5, اناث, فهد الاحمد}"
109,ثانوية عبدالله الاحمد الصباح للبنين,25,5,ضاحية جابر العلي,ذكور,,ض جابر العلي ق 3  الشارع  العام مقابل الجمعية,9308,8,"{أمة 24, الدائرة 5, ذكور, ضاحية جابر العلي}"
110,مدرسة  سعاد الصايغ المتوسطة بنات,26,5,ضاحية جابر العلي,اناث,,ض جابر العلي ق 1 شارع المدارس,9272,7,"{أمة 24, الدائرة 5, اناث, ضاحية جابر العلي}"
111,مدرسة المعري المتوسطة للبنين,27,5,الفحيحيل,ذكور,,الفحيحيل ق 1 الشارع الأول,4493,5,"{أمة 24, الدائرة 5, ذكور, الفحيحيل}"
112,روضة  السلامه,28,5,الفحيحيل,اناث,,الفحيحيل ق 1 ش 1,4682,5,"{أمة 24, الدائرة 5, اناث, الفحيحيل}"
113,مدرسة سيد ياسين الطبطبائي المتوسطه للبنين,29,5,المنقف,ذكور,,المنقف ق 3 ش 101,4427,4,"{أمة 24, الدائرة 5, ذكور, المنقف}"
114,مدرسة المنقف الابتدائية للبنات,30,5,المنقف,اناث,,المنقف ق 3 ش المدارس,4530,3,"{أمة 24, الدائرة 5, اناث, المنقف}"
115,مدرسة عبدالله بن الزبير  المتوسطة للبنين,31,5,ضاحية علي صباح السالم وميناء عبدالله,ذكور,الزور+ الوفرة,ض علي  صباح السالم ق 5 ش 107,10954,6,"{أمة 24, الدائرة 5, ذكور, ضاحية علي صباح السالم وميناء عبدالله}"
116,مدرسة الشعيبة الابتدائية للبنات,32,5,ضاحية علي صباح السالم وميناء عبدالله,اناث,الزور+ الوفرة,ضاحية علي صباح السالم ق 9 ش 104,9520,4,"{أمة 24, الدائرة 5, اناث, ضاحية علي صباح السالم وميناء عبدالله}"
117,ثانوية أيوب حسين الأيوب للبنين,33,5,صباح الاحمد,ذكور,صباح الاحمد,-,9572,4,"{أمة 24, الدائرة 5, ذكور, صباح الاحمد}"
118,ثانوية جمانة بنت الحسن للبنات,34,5,صباح الاحمد,اناث,صباح الاحمد,-,7931,4,"{أمة 24, الدائرة 5, اناث, صباح الاحمد}"
